Coefficients,Intercept
"[0.29337719082832336, -0.04310482740402222, 0.009309237822890282, 0.07241789996623993, 0.04082561284303665, -0.05031807720661163, 0.3042709231376648]",0.021954238414764404
"[0.4081608057022095, -0.06142064929008484, 0.02446989342570305, 0.021303605288267136, 0.016372038051486015, -0.048414263874292374, 0.24662773311138153]",0.024556301534175873
"[0.34274744987487793, 0.016900643706321716, 0.0014090838376432657, 0.06041037663817406, 0.02774941548705101, -0.024081196635961533, 0.1495169848203659]",0.01849335804581642
"[0.4967031478881836, 0.007160216569900513, 0.009854830801486969, -0.005794373340904713, 0.007136968430131674, -0.018808402121067047, 0.1293572038412094]",0.020799465477466583
"[0.4839809536933899, 0.035065628588199615, 0.02036219649016857, -0.01312462892383337, 0.020362216979265213, -0.03257115185260773, -0.010539519600570202]",0.03309762105345726
"[0.5176390409469604, -0.00040618330240249634, 0.011806489899754524, 0.019658217206597328, 0.014075572602450848, -0.017456738278269768, 0.08643614500761032]",0.015343643724918365
"[0.31571176648139954, 0.03926157206296921, 0.006586453877389431, 0.008996158838272095, 0.04463208094239235, -0.0564604289829731, 0.11604537814855576]",0.02764352597296238
"[0.34355291724205017, -0.02720194309949875, 0.03098350763320923, 0.043277304619550705, 0.03098350018262863, -0.06609790772199631, 0.14705123007297516]",0.029261846095323563
"[0.3294334411621094, 0.004196673631668091, 0.0034925274085253477, 0.06347829103469849, 0.043145641684532166, -0.058967333287000656, 0.23035643994808197]",0.02025601640343666
"[0.47025179862976074, -0.06262317299842834, 0.0038388697430491447, -0.003413835307583213, 0.07249116897583008, -0.09694601595401764, 0.1722780466079712]",0.031723082065582275
"[0.3315788209438324, 0.0018054395914077759, 0.020399879664182663, 0.04791141301393509, 0.06805536150932312, -0.09524300694465637, 0.16176806390285492]",0.028982751071453094
"[0.4885058104991913, 0.0726543664932251, 0.032981615513563156, -0.059034205973148346, 0.032981619238853455, -0.06331848353147507, -0.07266877591609955]",0.040564149618148804
"[0.35562050342559814, 0.036047570407390594, 0.04315325245261192, -0.014813646674156189, 0.04315325617790222, -0.08813688904047012, 0.08295972645282745]",0.03613441810011864
"[0.46641984581947327, -0.016394875943660736, 0.03376205265522003, -0.03622368350625038, 0.03376200422644615, -0.0888294130563736, 0.09926895052194595]",0.046203192323446274
"[0.3536803424358368, 0.022300707176327705, 0.03583929315209389, 0.015377487987279892, 0.03583928197622299, -0.07215207070112228, 0.005845320411026478]",0.031751036643981934
"[0.38297492265701294, -0.023706257343292236, 0.033076316118240356, 0.022691044956445694, 0.033076316118240356, -0.06084826588630676, 0.22296470403671265]",0.035433754324913025
"[0.5439133644104004, 0.08096085488796234, 0.022301355376839638, -0.05808025225996971, 0.022301360964775085, -0.041511040180921555, -0.09431015700101852]",0.03277653455734253
"[0.5280889868736267, 0.04971041902899742, 0.00290873390622437, -0.05810251086950302, 0.04997403174638748, -0.052324648946523666, -0.05803598836064339]",0.03361131250858307
"[0.41255703568458557, -0.0026301927864551544, 0.03332981467247009, -0.06357549130916595, 0.033329788595438004, -0.09501051157712936, 0.07541076838970184]",0.06065887212753296
"[0.44432711601257324, 0.07586925476789474, 0.035711560398340225, -0.03422066569328308, 0.03571154922246933, -0.08143335580825806, -0.010876010172069073]",0.04457588121294975
"[0.3641928732395172, -0.02343645691871643, 0.020462244749069214, -0.0408167764544487, 0.02046225778758526, -0.04508233070373535, 0.17225734889507294]",0.029553379863500595
"[0.3631080090999603, -0.017776399850845337, 0.043295491486787796, -0.010293126106262207, 0.06798665225505829, -0.11549713462591171, 0.19917047023773193]",0.03357186168432236
"[0.4429023563861847, 0.01496884971857071, 0.032594986259937286, 0.027470339089632034, 0.03259499371051788, -0.07374665141105652, 0.05540141463279724]",0.025989651679992676
"[0.48676779866218567, 0.018774202093482018, -0.005308147054165602, -0.12261702120304108, -0.005308129359036684, 0.02750370092689991, 0.055646441876888275]",0.05445410683751106
"[0.29916393756866455, -0.050453171133995056, 0.02299836091697216, 0.021311597898602486, 0.02299838699400425, -0.04618097096681595, 0.3062012791633606]",0.026497535407543182
"[0.319926381111145, -0.05718928575515747, 0.036468733102083206, -0.022863958030939102, 0.03646865114569664, -0.08123760670423508, 0.36985933780670166]",0.030659053474664688
"[0.4165029227733612, -0.0056899115443229675, 0.014850343577563763, -0.0712115615606308, 0.014850330539047718, -0.021055324003100395, 0.16834142804145813]",0.05371242016553879
"[0.3748386800289154, -0.03481954336166382, -0.01566685363650322, -0.05447719246149063, -0.015666846185922623, 0.07450222223997116, 0.37202969193458557]",0.033251091837882996
