model_key,layer,head,k,iou_score,program_idxs_used
llama3b,0,0,1,0.350527,52
llama3b,0,0,2,0.350976,52|68
llama3b,0,0,3,0.373974,52|68|33
llama3b,0,0,4,0.376257,52|68|33|55
llama3b,0,0,5,0.378813,52|68|33|55|23
llama3b,0,0,6,0.388785,52|68|33|55|23|27
llama3b,0,0,7,0.388785,52|68|33|55|23|27|30
llama3b,0,0,8,0.388785,52|68|33|55|23|27|30|64
llama3b,0,0,9,0.388785,52|68|33|55|23|27|30|64|28
llama3b,0,0,10,0.388785,52|68|33|55|23|27|30|64|28|24
llama3b,0,1,1,0.404095,44
llama3b,0,1,2,0.404239,44|13
llama3b,0,1,3,0.405849,44|13|40
llama3b,0,1,4,0.405849,44|13|40
llama3b,0,1,5,0.405849,44|13|40
llama3b,0,1,6,0.405849,44|13|40
llama3b,0,1,7,0.405849,44|13|40
llama3b,0,1,8,0.405849,44|13|40
llama3b,0,1,9,0.405849,44|13|40
llama3b,0,1,10,0.405849,44|13|40
llama3b,0,2,1,0.67137,55
llama3b,0,2,2,0.675157,55|23
llama3b,0,2,3,0.680109,55|23|30
llama3b,0,2,4,0.680109,55|23|30|27
llama3b,0,2,5,0.680109,55|23|30|27|64
llama3b,0,2,6,0.680109,55|23|30|27|64|24
llama3b,0,2,7,0.680109,55|23|30|27|64|24|28
llama3b,0,2,8,0.680109,55|23|30|27|64|24|28|58
llama3b,0,2,9,0.680109,55|23|30|27|64|24|28|58|32
llama3b,0,2,10,0.680109,55|23|30|27|64|24|28|58|32|36
llama3b,0,3,1,0.63291,68
llama3b,0,3,2,0.636107,68|33
llama3b,0,3,3,0.642519,68|33|55
llama3b,0,3,4,0.643456,68|33|55|23
llama3b,0,3,5,0.650133,68|33|55|23|64
llama3b,0,3,6,0.650133,68|33|55|23|64|27
llama3b,0,3,7,0.650133,68|33|55|23|64|27|30
llama3b,0,3,8,0.650133,68|33|55|23|64|27|30|36
llama3b,0,3,9,0.650133,68|33|55|23|64|27|30|36|28
llama3b,0,3,10,0.650133,68|33|55|23|64|27|30|36|28|24
llama3b,0,4,1,0.552708,33
llama3b,0,4,2,0.55076,33|68
llama3b,0,4,3,0.552346,33|68|55
llama3b,0,4,4,0.553378,33|68|55|23
llama3b,0,4,5,0.560926,33|68|55|23|64
llama3b,0,4,6,0.560926,33|68|55|23|64|27
llama3b,0,4,7,0.560926,33|68|55|23|64|27|30
llama3b,0,4,8,0.560926,33|68|55|23|64|27|30|36
llama3b,0,4,9,0.560926,33|68|55|23|64|27|30|36|28
llama3b,0,4,10,0.560926,33|68|55|23|64|27|30|36|28|24
llama3b,0,5,1,0.451733,33
llama3b,0,5,2,0.45344,33|68
llama3b,0,5,3,0.496596,33|68|52
llama3b,0,5,4,0.498862,33|68|52|55
llama3b,0,5,5,0.505592,33|68|52|55|23
llama3b,0,5,6,0.516122,33|68|52|55|23|27
llama3b,0,5,7,0.516122,33|68|52|55|23|27|30
llama3b,0,5,8,0.516122,33|68|52|55|23|27|30|64
llama3b,0,5,9,0.516122,33|68|52|55|23|27|30|64|28
llama3b,0,5,10,0.516122,33|68|52|55|23|27|30|64|28|24
llama3b,0,6,1,0.595785,68
llama3b,0,6,2,0.595945,68|33
llama3b,0,6,3,0.598246,68|33|55
llama3b,0,6,4,0.608954,68|33|55|23
llama3b,0,6,5,0.618995,68|33|55|23|64
llama3b,0,6,6,0.618995,68|33|55|23|64|27
llama3b,0,6,7,0.618995,68|33|55|23|64|27|30
llama3b,0,6,8,0.618995,68|33|55|23|64|27|30|36
llama3b,0,6,9,0.618995,68|33|55|23|64|27|30|36|28
llama3b,0,6,10,0.618995,68|33|55|23|64|27|30|36|28|24
llama3b,0,7,1,0.403165,70
llama3b,0,7,2,0.386478,70|62
llama3b,0,7,3,0.38714,70|62|9
llama3b,0,7,4,0.38714,70|62|9
llama3b,0,7,5,0.38714,70|62|9
llama3b,0,7,6,0.38714,70|62|9
llama3b,0,7,7,0.38714,70|62|9
llama3b,0,7,8,0.38714,70|62|9
llama3b,0,7,9,0.38714,70|62|9
llama3b,0,7,10,0.38714,70|62|9
llama3b,0,8,1,0.5088,33
llama3b,0,8,2,0.51085,33|68
llama3b,0,8,3,0.513042,33|68|55
llama3b,0,8,4,0.514194,33|68|55|23
