k,head,program,strategy,ppl_mode,increase,kl_div
1,"(2, 0)",next_attention,best_fit,full,67.17023699896902,0.8922144746780396
2,"(2, 9)",next_attention,best_fit,full,170.9135009892698,0.9260355091094971
3,"(1, 6)",cls_attention,best_fit,full,229.35917752784803,0.9340330874919891
4,"(8, 2)",eos_attention,best_fit,full,200.86869976190766,0.9400901377201081
5,"(1, 9)",relative_position_attention,best_fit,full,195.36061121134455,0.93883669257164
6,"(7, 6)",eos_attention,best_fit,full,199.6906610195503,0.9429869210720062
7,"(5, 1)",eos_attention,best_fit,full,202.52901099302872,0.9428421115875244
8,"(1, 8)",relative_position_attention,best_fit,full,195.6190826788151,0.9418553364276886
9,"(4, 3)",pronoun_reference,best_fit,full,178.49699914932128,0.94753382563591
10,"(7, 7)",eos_attention,best_fit,full,178.4948622155376,0.9544619762897492
11,"(8, 6)",eos_attention,best_fit,full,174.73175747388308,0.9610240209102631
12,"(3, 1)",relative_position_attention,best_fit,full,175.05839437828052,0.9600844085216522
13,"(3, 7)",relative_position_attention,best_fit,full,174.54366229517032,0.9577642452716827
14,"(7, 3)",eos_attention,best_fit,full,172.40086711776092,0.9532901549339294
15,"(2, 3)",relative_position_attention,best_fit,full,171.7177595076441,0.954718086719513
16,"(2, 5)",relative_position_attention,best_fit,full,181.2323920192896,0.9564128708839417
17,"(8, 5)",eos_attention,best_fit,full,187.5262402761645,0.9650270187854767
18,"(9, 9)",eos_attention,best_fit,full,174.7926818811505,0.97263578414917
19,"(0, 9)",relative_position_attention,best_fit,full,163.131146800386,0.9693765377998352
20,"(7, 11)",eos_attention,best_fit,full,169.4943593089885,0.9834338152408599
21,"(3, 5)",previous_attention,best_fit,full,247.80857545918815,0.9948878872394562
22,"(6, 3)",eos_attention,best_fit,full,292.9738431843934,1.0004067504405976
23,"(3, 4)",relative_position_attention,best_fit,full,285.57362414087254,1.0014487195014954
24,"(1, 0)",relative_position_attention,best_fit,full,265.6059621035937,0.9998594868183136
25,"(5, 6)",complement_adjunct_relationship,best_fit,full,285.8465820039533,1.0039554595947267
26,"(5, 5)",eos_attention,best_fit,full,290.3561699022905,1.0100139486789703
27,"(3, 6)",relative_position_attention,best_fit,full,277.2341092588314,1.0122472620010377
28,"(2, 7)",relative_position_attention,best_fit,full,271.40016353379383,1.0098475229740143
29,"(4, 9)",relative_position_attention,best_fit,full,274.2977985489284,1.006649762392044
30,"(1, 2)",relative_position_attention,best_fit,full,283.725073066078,1.0090906465053557
