k,head,program,strategy,increase,kl_div
1,"(6, 9)",L6H9,smart,-0.04796829504429102,0.001734756352379918
2,"(5, 9)",L5H9,smart,0.3027441542697729,0.005184024758636952
3,"(7, 1)",L7H1,smart,0.8471924893025596,0.006110280100256204
4,"(0, 10)",L0H10,smart,0.8211126748001849,0.007023551128804683
5,"(2, 6)",L2H6,smart,0.5935474892163768,0.00766143873333931
6,"(9, 2)",L9H2,smart,0.5774967182945069,0.008266306482255459
7,"(3, 0)",L9H9,smart,1.161493111001811,0.008595224004238844
8,"(1, 7)",L6H2,smart,1.1649901535643064,0.008682204317301512
9,"(5, 11)",L5H11,smart,1.8791129637845572,0.01049659363925457
10,"(6, 4)",L6H4,smart,2.064401726739471,0.012036055512726306
11,"(4, 8)",L4H8,smart,2.96430994344676,0.012240909226238727
12,"(10, 2)",L10H2,smart,3.1932768824683224,0.014483709074556827
13,"(6, 10)",L6H10,smart,3.2350694722555056,0.018821381591260435
14,"(8, 1)",L8H1,smart,4.430942855096029,0.02092978060245514
15,"(9, 4)",L9H4,smart,4.0514398796789965,0.02251079548150301
16,"(5, 0)",L5H0,smart,4.887616265454099,0.022730840742588042
17,"(8, 3)",L8H3,smart,4.376120773728735,0.024028544127941132
18,"(5, 5)",L5H5,smart,4.265653844136073,0.031316693872213364
19,"(2, 1)",L9H2,smart,4.505917220153795,0.030735640227794646
20,"(9, 9)",L8H1,smart,4.5122203175989855,0.0334175743162632
21,"(1, 3)",L1H3,smart,4.513454217688134,0.033999798074364665
22,"(9, 1)",L9H1,smart,5.1348262743561195,0.035433603823184966
23,"(10, 10)",L9H6,smart,5.728414406119046,0.04125974215567112
24,"(3, 10)",L1H3,smart,6.157418220594306,0.04517626129090786
25,"(6, 5)",L6H5,smart,5.909366193762035,0.04614699445664883
26,"(10, 6)",L10H10,smart,6.223946796244712,0.048627490550279616
27,"(7, 5)",L7H5,smart,6.55435502185536,0.042848984524607656
28,"(11, 4)",L11H4,smart,6.156966643969614,0.04324568435549736
29,"(7, 10)",L7H10,smart,7.10477018348171,0.0455734021961689
30,"(1, 8)",L6H2,smart,6.987660719232021,0.04271494299173355
31,"(11, 1)",L11H1,smart,6.401392440190415,0.04290094189345837
32,"(9, 6)",L9H6,smart,6.694063743576829,0.04359350204467773
33,"(6, 8)",L6H8,smart,6.932225904697072,0.04679493606090546
34,"(11, 2)",L10H8,smart,134.79772161772024,0.43808266520500183
35,"(9, 5)",L5H9,smart,134.77294160440496,0.4237785041332245
36,"(3, 1)",L3H1,smart,135.53251231006496,0.4282184898853302
37,"(7, 2)",L7H2,smart,138.0549234695217,0.42711661458015443
38,"(10, 8)",L10H8,smart,140.05182323434653,0.43654912114143374
39,"(9, 11)",L9H11,smart,142.55662485647056,0.4463560700416565
40,"(10, 7)",L10H7,smart,143.39713132382445,0.4551241874694824
41,"(5, 1)",L6H9,smart,144.75610281277355,0.4666138768196106
42,"(7, 6)",L7H1,smart,145.53941107004485,0.4645203113555908
43,"(11, 10)",L11H10,smart,146.79498819202644,0.47028287053108214
44,"(0, 1)",L0H1,smart,146.82573225949457,0.4700560212135315
45,"(3, 5)",L3H5,smart,148.46444413112457,0.47837275862693784
46,"(8, 11)",L8H11,smart,150.38650574990825,0.4782545447349548
47,"(2, 10)",L11H3,smart,150.77460140449162,0.4775039255619049
48,"(11, 5)",L11H5,smart,148.28939327492915,0.46225709319114683
49,"(6, 6)",L10H2,smart,149.412959847592,0.4671340107917786
50,"(1, 1)",L1H1,smart,150.21100875732674,0.46963860392570494
51,"(4, 4)",L4H4,smart,151.8325285541899,0.47920204401016236
52,"(1, 4)",L6H2,smart,154.20251824781644,0.4794555902481079
53,"(10, 0)",L10H0,smart,157.66048972691343,0.496639484167099
54,"(6, 2)",L11H1,smart,158.75420063369327,0.5051898241043091
55,"(5, 6)",L5H6,smart,160.7127671171853,0.5238638281822204
56,"(2, 5)",L2H5,smart,161.4926764755461,0.520955353975296
57,"(6, 1)",L6H1,smart,164.4648655013834,0.5226832151412963
58,"(2, 11)",L4H8,smart,163.7464902744603,0.5245588839054107
59,"(5, 10)",L5H10,smart,165.29435563324668,0.5500685334205627
60,"(7, 7)",L7H7,smart,166.32619068008975,0.5427177608013153
61,"(0, 11)",L2H5,smart,165.59427607850003,0.5299207925796509
62,"(0, 7)",L0H7,smart,166.55276062002508,0.5259824693202972
63,"(2, 7)",L11H3,smart,166.60074517688278,0.519705069065094
64,"(7, 9)",L7H9,smart,168.96820091531325,0.5336481690406799
65,"(3, 4)",L3H4,smart,170.57352858093617,0.5555781960487366
66,"(11, 7)",L11H7,smart,165.54897528749402,0.5170873820781707
67,"(7, 3)",L7H3,smart,166.09282521230207,0.5304279208183289
68,"(4, 10)",L4H10,smart,168.88624919408593,0.5640489637851716
69,"(10, 1)",L10H1,smart,171.52127825589653,0.5692893147468567
