k,head,program,strategy,increase,kl_div
1,"(9, 11)",L9H11,smart,0.12052217540083128,0.0014160579827148466
2,"(10, 8)",L10H8,smart,0.05611715080813713,0.002437720261514187
3,"(8, 11)",L8H11,smart,0.20065517161093743,0.004425689438357949
4,"(6, 5)",L6H5,smart,-0.06202360538921733,0.005250725476071238
5,"(9, 6)",L9H6,smart,0.1832300573327847,0.005942177306860685
6,"(7, 6)",L7H1,smart,0.6656279672213758,0.007716957107186317
7,"(9, 4)",L9H4,smart,0.21195521448559934,0.00899921115487814
8,"(10, 7)",L10H7,smart,0.32064784781211714,0.010774680320173502
9,"(3, 0)",L9H9,smart,0.8685825647220176,0.0146349610760808
10,"(2, 11)",L4H8,smart,0.20301159946452446,0.013501963391900063
11,"(4, 8)",L4H8,smart,1.046308882176221,0.014178516902029514
12,"(5, 10)",L5H10,smart,1.6003494763180552,0.023404506593942644
13,"(9, 9)",L8H1,smart,1.622999837547681,0.02390531711280346
14,"(3, 1)",L3H1,smart,1.8641986848592809,0.021762833558022977
15,"(10, 1)",L10H1,smart,2.5447139707236865,0.021841288544237614
16,"(10, 2)",L10H2,smart,2.7141747554691555,0.022064045257866382
17,"(3, 5)",L3H5,smart,3.113899313863276,0.023579123988747598
18,"(8, 1)",L8H1,smart,4.16174698386436,0.024730679020285605
19,"(5, 9)",L5H9,smart,4.549834462138527,0.034196199104189876
20,"(7, 1)",L7H1,smart,5.067138080483067,0.036280091106891635
21,"(1, 4)",L6H2,smart,5.801745467388736,0.03591991029679775
22,"(5, 1)",L6H9,smart,6.372279577677817,0.03622145764529705
23,"(0, 1)",L0H1,smart,6.378493300258386,0.03623590059578419
24,"(2, 6)",L2H6,smart,6.107319215148457,0.03336401656270027
25,"(7, 7)",L7H7,smart,6.412330409773565,0.03488769009709358
26,"(0, 10)",L0H10,smart,6.33791538845644,0.0333375733345747
27,"(8, 3)",L8H3,smart,5.849372814949506,0.03272604309022427
28,"(7, 5)",L7H5,smart,6.216815571674856,0.032121927663683894
29,"(6, 2)",L11H1,smart,5.868535352340791,0.03501131981611252
30,"(9, 1)",L9H1,smart,6.862587953082974,0.03786798864603043
31,"(1, 7)",L6H2,smart,6.50672942485974,0.03891739770770073
32,"(9, 5)",L5H9,smart,6.70811063495011,0.04110352098941803
33,"(4, 4)",L4H4,smart,7.1814777018200235,0.04516738057136536
34,"(7, 9)",L7H9,smart,7.274632856033188,0.046777529269456865
35,"(1, 1)",L1H1,smart,7.312732182770004,0.04600238613784313
36,"(5, 6)",L5H6,smart,7.887529445088555,0.04724631458520889
37,"(6, 9)",L6H9,smart,8.307248303929576,0.04999101534485817
38,"(10, 0)",L10H0,smart,8.413202497720764,0.05053147114813328
39,"(7, 2)",L7H2,smart,8.989491665048039,0.05480219163000584
40,"(5, 0)",L5H0,smart,10.138663641795034,0.05724388360977173
41,"(6, 10)",L6H10,smart,10.235733349013405,0.06341525986790657
42,"(5, 11)",L5H11,smart,11.071942711067255,0.06475187614560127
43,"(6, 8)",L6H8,smart,11.546569280074367,0.06820916384458542
44,"(6, 6)",L10H2,smart,12.049393491439362,0.07365172654390335
45,"(3, 10)",L1H3,smart,12.633718843904438,0.07710724771022796
46,"(2, 10)",L11H3,smart,12.719753417109008,0.07860384434461594
47,"(2, 5)",L2H5,smart,12.576140574128527,0.07965653091669082
48,"(9, 2)",L9H2,smart,12.438071854381558,0.08219756335020065
49,"(2, 7)",L11H3,smart,12.468596359137901,0.08193903192877769
50,"(1, 2)",L2H5,smart,138.65485563490407,0.29225883781909945
51,"(0, 7)",L0H7,smart,138.9269511620907,0.28625387251377105
52,"(10, 6)",L10H10,smart,139.32531862073898,0.27847620844841003
53,"(2, 1)",L9H2,smart,142.54534254369128,0.2833428144454956
54,"(1, 8)",L6H2,smart,143.0168214549682,0.2738494068384171
55,"(6, 4)",L6H4,smart,142.79922108604225,0.27941768169403075
56,"(7, 10)",L7H10,smart,144.23203406261206,0.28666518032550814
57,"(4, 10)",L4H10,smart,146.86407139263798,0.3174159348011017
58,"(3, 4)",L3H4,smart,147.57087460538534,0.33380130529403684
59,"(1, 3)",L1H3,smart,148.78318364787688,0.3314373970031738
60,"(7, 3)",L7H3,smart,148.81020637927384,0.3437851816415787
61,"(6, 1)",L6H1,smart,148.61428047978825,0.33629636764526366
62,"(10, 10)",L9H6,smart,149.8735280706616,0.35348872244358065
63,"(5, 5)",L5H5,smart,150.7217489733672,0.3692197173833847
64,"(0, 11)",L2H5,smart,149.1821916436586,0.35494348108768464
