k,head,program,strategy,increase,kl_div,spike
1,"(0, 1)",L0H1,smart,0.008255478585551028,2.81770599031006e-07,False
2,"(5, 1)",L6H9,smart,0.5663606168790807,0.0016400040592998266,False
3,"(7, 2)",L7H2,smart,0.9846939012839278,0.003631886560469866,False
4,"(10, 8)",L10H8,smart,0.9249304622227875,0.004494338296353817,False
5,"(6, 9)",L6H9,smart,0.9319973352620231,0.006404244154691696,False
6,"(10, 10)",L9H6,smart,1.4450296639414728,0.007867444213479758,False
7,"(9, 9)",L8H1,smart,1.4546794458800902,0.010559582896530629,False
8,"(6, 10)",L6H10,smart,1.414471744140894,0.012968893349170684,False
9,"(9, 11)",L9H11,smart,1.5364860508885099,0.014853761717677116,False
10,"(3, 0)",L9H9,smart,2.0297291948664817,0.01857559271156788,False
11,"(8, 1)",L8H1,smart,3.003136871435643,0.019275677762925623,False
12,"(1, 4)",L6H2,smart,3.7251296391601514,0.020025833696126937,False
13,"(10, 2)",L10H2,smart,3.8660629935761706,0.021405922807753087,False
14,"(5, 9)",L5H9,smart,4.405123008731615,0.029208137840032577,False
15,"(5, 11)",L5H11,smart,5.065524364778222,0.03386578187346458,False
16,"(9, 6)",L9H6,smart,5.166941667013676,0.03301372192800045,False
17,"(6, 6)",L10H2,smart,5.147320629238335,0.0360866941511631,False
18,"(1, 3)",L1H3,smart,5.122789350298584,0.03685397505760193,False
19,"(7, 1)",L7H1,smart,5.62114433188396,0.038848850131034854,False
20,"(9, 1)",L9H1,smart,6.414440065390769,0.04122859351336956,False
21,"(1, 7)",L6H2,smart,6.272738121545733,0.03908439576625824,False
22,"(9, 5)",L5H9,smart,6.280022206189885,0.03676043264567852,False
23,"(5, 5)",L5H5,smart,6.0377916248005,0.043605221435427666,False
24,"(4, 8)",L4H8,smart,7.010455408463412,0.04457283988595009,False
25,"(9, 2)",L9H2,smart,6.991274678893478,0.046680514514446256,False
26,"(11, 1)",L11H1,smart,6.485383995302558,0.04576179198920727,False
27,"(9, 4)",L9H4,smart,6.157315200263717,0.04832145944237709,False
28,"(10, 6)",L10H10,smart,6.498810352141518,0.05231216326355934,False
29,"(8, 11)",L8H11,smart,6.823507889944564,0.04929780587553978,False
30,"(11, 4)",L11H4,smart,6.335065879797605,0.049228758364915845,False
31,"(4, 4)",L4H4,smart,6.808798411139167,0.05050995871424675,False
32,"(2, 11)",L4H8,smart,6.188353003708104,0.04916988089680672,False
33,"(8, 3)",L8H3,smart,5.846930628048524,0.051071231812238695,False
34,"(4, 10)",L4H10,smart,6.539457363553813,0.05839352160692215,False
35,"(3, 5)",L3H5,smart,6.837466435900993,0.06209999918937683,False
36,"(2, 6)",L2H6,smart,6.746571477247565,0.05983086079359055,False
37,"(1, 8)",L6H2,smart,6.6840184732861205,0.05759337693452835,False
38,"(10, 1)",L10H1,smart,7.3990677261491085,0.05713454857468605,False
39,"(6, 1)",L6H1,smart,8.206575979765987,0.05860331580042839,False
40,"(6, 5)",L6H5,smart,7.6625150513863485,0.057849292457103726,False
41,"(7, 3)",L7H3,smart,7.354891675884309,0.059773890674114226,False
42,"(0, 10)",L0H10,smart,7.4309934826193516,0.06366221755743026,False
43,"(2, 5)",L2H5,smart,7.067427104867859,0.0644547238945961,False
44,"(7, 6)",L7H1,smart,7.752380865844364,0.06690422296524048,False
45,"(10, 0)",L10H0,smart,7.829306264202964,0.06724123656749725,False
46,"(11, 5)",L11H5,smart,7.732832754929643,0.071385258436203,False
47,"(7, 10)",L7H10,smart,8.824623316473678,0.07498654425144195,False
48,"(7, 5)",L7H5,smart,9.473057177912295,0.07446770891547203,False
49,"(2, 7)",L11H3,smart,9.372192962644935,0.07576739490032196,False
50,"(5, 6)",L5H6,smart,10.158076550251693,0.08082181811332703,False
51,"(6, 2)",L11H1,smart,9.91956967014118,0.08726849555969238,False
52,"(7, 7)",L7H7,smart,10.282881716100013,0.0931986391544342,False
53,"(5, 0)",L5H0,smart,11.286048430724012,0.09646613597869873,False
54,"(3, 1)",L3H1,smart,11.761851532627349,0.10008193105459214,False
55,"(6, 4)",L6H4,smart,12.114305441934093,0.10279856771230697,False
56,"(11, 10)",L11H10,smart,12.499610363183312,0.10413740128278733,False
57,"(3, 10)",L1H3,smart,13.28600125792418,0.10734397917985916,False
58,"(6, 8)",L6H8,smart,14.038693471303068,0.11269516497850418,False
59,"(2, 1)",L9H2,smart,14.89258131653079,0.11693696230649948,False
60,"(1, 1)",L1H1,smart,15.238266602644652,0.11751573234796524,False
61,"(5, 10)",L5H10,smart,16.26541435813389,0.12711490094661712,False
62,"(2, 10)",L11H3,smart,16.647569685273897,0.13045797348022461,False
63,"(7, 9)",L7H9,smart,17.422490989772598,0.1322252333164215,False
64,"(11, 7)",L11H7,smart,17.906021054890093,0.15453073084354402,False
65,"(0, 7)",L0H7,smart,17.831641992591283,0.15500179827213287,False
66,"(3, 4)",L3H4,smart,18.37683390612578,0.16404312252998351,False
67,"(10, 7)",L10H7,smart,19.067346895940407,0.1710514396429062,False
68,"(0, 11)",L2H5,smart,18.04130348030538,0.16871795654296876,False
